NCTId,final_date,start_date,field_changed,final_value,start_value
NCT02808585,2025-08-01 07:26:41.414466,,New  Study  Added,,
NCT03649919,2025-08-01 07:26:41.414466,,New  Study  Added,,
NCT03917589,2025-08-01 07:26:41.414466,,New  Study  Added,,
NCT04934800,2025-08-01 07:26:41.414466,,New  Study  Added,,
NCT05102916,2025-08-01 07:26:41.414466,,New  Study  Added,,
NCT05635266,2025-08-01 07:26:41.414466,,New  Study  Added,,
NCT06581887,2025-08-01 07:26:41.414466,,New  Study  Added,,
NCT06902610,2025-08-01 07:26:41.414466,,New  Study  Added,,
NCT07015632,2025-07-01 07:21:37.005046,,New  Study  Added,,
NCT07037862,2025-07-01 07:21:37.005046,,New  Study  Added,,
NCT07038824,2025-07-01 07:21:37.005046,,New  Study  Added,,
NCT07039799,2025-07-01 07:21:37.005046,,New  Study  Added,,
NCT07058662,2025-08-01 07:26:41.414466,,New  Study  Added,,
NCT07092540,2025-08-01 07:26:41.414466,,New  Study  Added,,
NCT07101185,2025-09-01 07:20:22.089753,,New  Study  Added,,
NCT07127978,2025-09-01 07:20:22.089753,,New  Study  Added,,
NCT07129954,2025-09-01 07:20:22.089753,,New  Study  Added,,
NCT07160634,2025-10-01 07:19:32.349441,,New  Study  Added,,
NCT07172737,2025-10-01 07:19:32.349441,,New  Study  Added,,
NCT07172971,2025-10-01 07:19:32.349441,,New  Study  Added,,
NCT07188012,2025-10-01 07:19:32.349441,,New  Study  Added,,
NCT07209332,2025-11-01 07:17:18.276233,,New  Study  Added,,
NCT07250737,2025-12-01 07:23:31.834092,,New  Study  Added,,
NCT07254988,2025-12-01 07:23:31.834092,,New  Study  Added,,
NCT07282652,2026-01-01 07:23:50.780214,,New  Study  Added,,
NCT07286565,2026-01-01 07:23:50.780214,,New  Study  Added,,
NCT07287189,2026-01-01 07:23:50.780214,,New  Study  Added,,
NCT07317063,2026-02-01 07:37:25.453478,,New  Study  Added,,
NCT07332013,2026-02-01 07:37:25.453478,,New  Study  Added,,
NCT07338812,2026-02-01 07:37:25.453478,,New  Study  Added,,
NCT07347548,2026-02-01 07:37:25.453478,,New  Study  Added,,
NCT07356063,2026-02-01 07:37:25.453478,,New  Study  Added,,
NCT07368400,2026-02-01 07:37:25.453478,,New  Study  Added,,
NCT07369609,2026-02-01 07:37:25.453478,,New  Study  Added,,
NCT07378553,2026-02-01 07:37:25.453478,,New  Study  Added,,
NCT07402122,2026-03-01 07:33:13.464479,,New  Study  Added,,
NCT07415837,2026-03-01 07:33:13.464479,,New  Study  Added,,
NCT07423026,2026-03-01 07:33:13.464479,,New  Study  Added,,
NCT07429240,2026-03-01 07:33:13.464479,,New  Study  Added,,
NCT07435116,2026-03-01 07:33:13.464479,,New  Study  Added,,
NCT07436143,2026-03-01 07:33:13.464479,,New  Study  Added,,
NCT07437378,2026-03-01 07:33:13.464479,,New  Study  Added,,
NCT07467187,2026-04-01 08:15:57.024034,,New  Study  Added,,
NCT07475754,2026-04-01 08:15:57.024034,,New  Study  Added,,
NCT07511920,2026-05-01 09:01:11.670236,,New  Study  Added,,
NCT07515235,2026-05-01 09:01:11.670236,,New  Study  Added,,
NCT07542314,2026-05-01 09:01:11.670236,,New  Study  Added,,
NCT07543302,2026-05-01 09:01:11.670236,,New  Study  Added,,
NCT07560059,2026-05-01 09:01:11.670236,,New  Study  Added,,
NCT00005574,2026-02-01 07:37:25.453478,2026-01-01 07:23:50.780214,Org Study Id,000083,83
NCT01247207,2026-04-01 08:15:57.024034,2026-03-01 07:33:13.464479,Overall Status,Completed,Enrolling By Invitation
NCT01247207,2026-04-01 08:15:57.024034,2026-03-01 07:33:13.464479,Primary Completion Date,2026-02-10,2025-04-30
NCT01247207,2026-04-01 08:15:57.024034,2026-03-01 07:33:13.464479,Completion Date,2026-02-10,2025-04-30
NCT01247207,2026-04-01 08:15:57.024034,2026-03-01 07:33:13.464479,Last Update Post Date,2026-03-09,2025-04-17
NCT01396239,2026-02-01 07:37:25.453478,2026-01-01 07:23:50.780214,Secondary Id,07-2484,Jul-84
